id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
201,荷叶,Hé Yè,Lotus Leaf,荷叶,,,1,5:1,5,5,summerheat|spleen|weight|bleeding|cholesterol,"Clear summerheat, raise clear Yang, disperse stasis and stop bleeding",Weak constitution; Qi deficiency with sinking,derived
202,核桃仁,Hé Táo Rén,Walnut Kernel,核桃仁,,,1.09,5.5:1,5.5,6,kidney|lung|constipation|aging|yang_tonic,"Supplement the Kidney, warm the Lung, calm wheezing and moisten the intestines",Yin deficiency with Heat; loose stool; phlegm-Heat cough,derived
203,黑豆,Hēi Dòu,Black Soybean,黑豆,,,0.86,5.8:1,5.8,5,kidney|yin_tonic|blood_tonic|damp|detox,"Supplement the Kidney, nourish Yin and Blood, drain Damp and resolve toxin",Generally well tolerated; caution in severe Spleen deficiency,derived
204,诃子(诃子),Hē Zǐ,Terminalia Fruit,诃子,,诃子,2.5,2:1,2,5,diarrhoea|astringent|cough|throat|voice,"Astringe the intestines, restrain the Lung, descend Fire and benefit the throat",Early-stage exterior pattern; Damp-Heat dysentery with excess,derived
205,黑豆衣,Hēi Dòu Yī,Black Soybean Coat,黑豆衣,,,2.14,7:1,7,15,blood_tonic|yin_tonic|fever|eye|sweating,"Nourish Blood, dispel Wind, clear deficiency Heat and brighten the eyes",Generally well tolerated,derived
206,红花,Hóng Huā,Safflower,红花,,,1.36,2.2:1,2.2,3,blood_stasis|women|menstrual|heart|pain,"Invigorate Blood, dispel stasis, relieve pain","Pregnancy, bleeding disorders",curated
207,红参,Hóng Shēn,Red Ginseng,红参,,,3.33,1.5:1,1.5,5,qi_tonic|yang_tonic|fatigue|aging|circulation,"Steaming makes ginseng warmer and more Yang-supporting, strongly tonifying Qi and restoring Yang",Yin deficiency with Heat; hypertension; incompatible with 藜芦 and 五灵脂,derived
208,红豆蔻,Hóng Dòu Kòu,Galangal Fruit,红豆蔻,,,0.71,7:1,7,5,cold|damp|stomach|digestion|nausea,"Disperse Cold, dry Damp, warm the Middle and aid digestion",Yin deficiency with Heat,derived
209,胡芦巴,Hú Lú Bā,Fenugreek Seed,胡芦巴,,,1,5:1,5,5,kidney|yang_tonic|cold|pain|hernia,"Warm the Kidney, assist Yang, disperse Cold and relieve pain",Yin deficiency with Heat; pregnancy,derived
210,黄药子,Huáng Yào Zǐ,Dioscorea Bulbifera,黄药子,,,0.56,9:1,9,5,nodule|thyroid|toxin|heat|bleeding,"Dissolve phlegm, dissipate nodules, cool Blood and resolve toxin",HEPATOTOXIC — short courses only with liver monitoring; Spleen Cold deficiency,derived
211,虎杖,Hǔ Zhàng,Polygonum Cuspidatum Root,虎杖,,,2,4.5:1,4.5,9,damp|liver|jaundice|blood_move|constipation,"Drain Damp, resolve toxin, invigorate Blood, free the stool and stop cough",Pregnancy; loose stool; prolonged use — monitor liver,derived
212,花椒(花椒),Huā Jiāo,Sichuan Pepper,花椒,,花椒,0.86,3.5:1,3.5,3,cold|stomach|pain|parasite|itch,"Warm the Middle, relieve pain, kill parasites and stop itching",Yin deficiency with Heat; pregnancy,derived
213,滑石,Huá Shí,Talcum,滑石,,,0.8,12.5:1,12.5,10,urinary|damp|summerheat|heat|skin,"Promote urination, drain Damp-Heat and release summerheat",Pregnancy; Spleen deficiency; Essence loss; must be bagged when decocted,derived
214,化橘红(柚),Huà Jú Hóng,Pomelo Peel,化橘红,,柚,1.15,2.6:1,2.6,3,phlegm|cough|qi_move|damp|lung,"Move Qi, dry Damp, transform phlegm and stop cough",Yin deficiency with dry cough; Qi deficiency,derived
215,槐花(槐花),Huái Huā,Sophora Flower,槐花,,槐花,1.67,3:1,3,5,bleeding|heat|haemorrhoid|liver,"Cool Blood, stop bleeding and clear Liver Fire",Spleen and Stomach Cold deficiency; bleeding from Cold or deficiency,derived
216,黄柏,Huáng Bǎi,Phellodendron Bark,黄柏,,,1.2,5:1,5,6,women|menopause|heat|damp_heat|kidney,"Clear Damp-Heat, reduce Empty Fire, drain Kidney Fire","Spleen-Stomach Cold, pregnancy",curated
217,盐黄柏,Yán Huáng Bǎi,Salt-processed Phellodendron Bark,黄柏,盐,,1.5,4:1,4,6,women|menopause|heat|damp_heat|kidney,"Clear Damp-Heat, reduce Empty Fire, drain Kidney Fire. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.","Spleen-Stomach Cold, pregnancy",curated+processed
218,黄精(多花黄精),Huáng Jīng,Polygonatum Rhizome,黄精,,多花黄精,3.85,1.3:1,1.3,5,qi_tonic|yin_tonic|spleen|lung|kidney|aging,"Supplement Qi, nourish Yin, strengthen the Spleen, moisten the Lung and benefit the Kidney",Damp accumulation; Spleen deficiency with loose stool; phlegm-Damp,derived
219,酒黄精(多花黄精),Jiǔ Huáng Jīng,Wine-processed Polygonatum Rhizome,黄精,酒,多花黄精,4.17,1.2:1,1.2,5,qi_tonic|yin_tonic|spleen|lung|kidney|aging|blood_move,"Supplement Qi, nourish Yin, strengthen the Spleen, moisten the Lung and benefit the Kidney. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Damp accumulation; Spleen deficiency with loose stool; phlegm-Damp,derived
220,黄连(黄连),Huáng Lián,Coptis Rhizome,黄连,,黄连,0.67,4.5:1,4.5,3,heat|gut|heart|infection|damp_heat,"Clear Heart and Stomach Fire, dry Damp, resolve toxins",Cold deficiency patterns; long-term use cautious,curated
221,酒黄连(黄连),Jiǔ Huáng Lián,Wine-processed Coptis Rhizome,黄连,酒,黄连,0.67,4.5:1,4.5,3,heat|gut|heart|infection|damp_heat|blood_move,"Clear Heart and Stomach Fire, dry Damp, resolve toxins. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Cold deficiency patterns; long-term use cautious,curated+processed
222,黄芪(蒙古黄芪),Huáng Qí,Astragalus Root,黄芪,,蒙古黄芪,4,2.5:1,2.5,10,qi_tonic|immune|fatigue|aging|sweating|spleen,"Tonify Wei Qi, strengthen Spleen, raise Yang, promote healing","Excess patterns, Yin deficiency heat",curated
223,炙黄芪(蒙古黄芪),Zhì Huáng Qí,Honey-fried Astragalus Root,黄芪,炙,蒙古黄芪,3.13,1.6:1,1.6,5,qi_tonic|immune|fatigue|aging|sweating|spleen,"Tonify Wei Qi, strengthen Spleen, raise Yang, promote healing. Honey-frying warms and moistens, enhancing the Qi-tonifying and Middle-harmonising action while reducing dispersing effects.","Excess patterns, Yin deficiency heat",curated+processed
224,黄芩,Huáng Qín,Scutellaria Root (Skullcap),黄芩,,,2.27,2.2:1,2.2,5,heat|lung|damp_heat|liver|infection,"Clear Heat, dry Damp, cool Blood, calm fetus",Spleen-Stomach deficiency cold,curated
225,酒黄芩,Jiǔ Huáng Qín,Wine-processed Scutellaria Root (Skullcap),黄芩,酒,,2.27,2.2:1,2.2,5,heat|lung|damp_heat|liver|infection|blood_move,"Clear Heat, dry Damp, cool Blood, calm fetus. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Spleen-Stomach deficiency cold,curated+processed
226,火麻仁,Huǒ Má Rén,Hemp Seed,火麻仁,,,2.86,3.5:1,3.5,10,constipation|yin_tonic|dryness|aging|gut,"Moisten the intestines, free the stool and nourish Yin",Loose stool; large doses may cause nausea and dizziness,derived
227,炒火麻仁,Chǎo Huǒ Má Rén,Dry-fried Hemp Seed,火麻仁,炒,,3.13,3.2:1,3.2,10,constipation|yin_tonic|dryness|aging|gut|spleen,"Moisten the intestines, free the stool and nourish Yin. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Loose stool; large doses may cause nausea and dizziness,derived
228,火炭母(火炭母),Huǒ Tàn Mǔ,Polygonum Chinense,火炭母,,火炭母,2.73,5.5:1,5.5,15,heat|damp|diarrhoea|toxin|skin,"Clear Heat, drain Damp, cool Blood and resolve toxin",Spleen Cold deficiency,derived
229,何首乌,Hé Shǒu Wū,Fo-Ti Root,何首乌,,,0.45,6.7:1,6.7,3,blood_tonic|kidney|aging|hair|liver,"Tonify Liver and Kidney, nourish Blood, blacken hair",Hepatotoxicity risk — use processed form; no alcohol,curated
230,制何首乌,Zhì Hé Shǒu Wū,Processed Fo-Ti Root,何首乌,制,,1.5,4:1,4,6,blood_tonic|kidney|aging|hair|liver,"Tonify Liver and Kidney, nourish Blood, blacken hair. Processing reduces toxicity and harshness so the herb can be used safely at therapeutic dose.",Hepatotoxicity risk — use processed form; no alcohol,curated+processed
231,红景天,Hóng Jǐng Tiān,Rhodiola,红景天,,,1,3:1,3,3,qi_tonic|fatigue|stress|aging|heart|lung|brain,"Tonify Qi, invigorate Blood, calm Shen, strengthen Lung",Bipolar disorder (with caution),curated
232,葫芦茶,Hú Lú Chá,Tadehagi,葫芦茶,,,0.77,6.5:1,6.5,5,heat|damp|digestion|parasite|throat,"Clear Heat, drain Damp, aid digestion and kill parasites",Spleen Cold deficiency,derived
233,槐角,Huái Jiǎo,Sophora Fruit,槐角,,,1.71,3.5:1,3.5,6,bleeding|haemorrhoid|heat|constipation|liver,"Clear Heat, cool Blood, stop bleeding and moisten the intestines",Pregnancy; Spleen and Stomach Cold deficiency,derived
234,蜜槐角,Mì Huái Jiǎo,Honey-fried Sophora Fruit,槐角,蜜,,4,1.5:1,1.5,6,bleeding|haemorrhoid|heat|constipation|liver|lung|cough,"Clear Heat, cool Blood, stop bleeding and moisten the intestines. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Pregnancy; Spleen and Stomach Cold deficiency,derived
235,鸡骨草,Jī Gǔ Cǎo,Abrus Herb,鸡骨草,,,0.63,8:1,8,5,liver|jaundice|damp|heat|pain,"Drain Damp, relieve jaundice, soothe the Liver and relieve pain",The SEEDS are highly toxic and must be removed; Spleen Cold deficiency,derived
236,鸡冠花,Jī Guān Huā,Cockscomb Flower,鸡冠花,,,1.2,5:1,5,6,bleeding|diarrhoea|discharge|astringent|women,"Stop bleeding, restrain the intestines and stop discharge",Damp-Heat with excess; early-stage dysentery,derived
237,鸡内金,Jī Nèi Jīn,Chicken Gizzard Lining,鸡内金,,,0.63,8:1,8,5,digestion|spleen|stone|urinary|paediatric,"Aid digestion powerfully, strengthen the Spleen, secure Essence and dissolve stones",Spleen deficiency without food stagnation,derived
238,炒鸡内金,Chǎo Jī Nèi Jīn,Dry-fried Chicken Gizzard Lining,鸡内金,炒,,0.63,8:1,8,5,digestion|spleen|stone|urinary|paediatric,"Aid digestion powerfully, strengthen the Spleen, secure Essence and dissolve stones. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Spleen deficiency without food stagnation,derived
239,鸡矢藤,Jī Shǐ Téng,Paederia Stem,鸡矢藤,,,1.67,6:1,6,10,digestion|damp|pain|collateral|gut,"Aid digestion, transform Damp, relieve pain and free the collaterals",Generally well tolerated,derived
240,急性子,Jí Xìng Zǐ,Garden Balsam Seed,急性子,,,0.83,6:1,6,5,blood_move|nodule|throat|menstrual,"Break Blood stasis, soften hardness and free the throat",Pregnancy — strong abortifacient; Qi and Blood deficiency,derived
241,积雪草,Jī Xuě Cǎo,Centella,积雪草,,,1.43,3.5:1,3.5,5,heat|damp|skin|wound|liver,"Clear Heat, drain Damp, resolve toxin, invigorate Blood and heal wounds",Pregnancy; Spleen Cold deficiency,derived
242,鸡血藤,Jī Xuè Téng,Spatholobus Stem,鸡血藤,,,1.64,5.5:1,5.5,9,blood_tonic|women|menstrual|joint|blood_stasis,"Invigorate and nourish Blood, relax sinews",None significant,curated
243,接骨木(接骨木),Jiē Gǔ Mù,Elder Stem,接骨木,,接骨木,1,10:1,10,10,wind_damp|trauma|fracture|pain|oedema,"Dispel Wind-Damp, invigorate Blood, mend fracture and reduce swelling",Pregnancy; Qi and Blood deficiency,derived
244,僵蚕,Jiāng Cán,Stiff Silkworm,僵蚕,,,1,3:1,3,3,wind|spasm|nodule|skin|headache,"Extinguish Wind, stop spasm, dispel Wind and relieve pain, dissipate nodules",Blood deficiency generating Wind without Wind-phlegm,derived
245,炒僵蚕,Chǎo Jiāng Cán,Dry-fried Stiff Silkworm,僵蚕,炒,,1,3:1,3,3,wind|spasm|nodule|skin|headache|spleen,"Extinguish Wind, stop spasm, dispel Wind and relieve pain, dissipate nodules. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Blood deficiency generating Wind without Wind-phlegm,derived
246,姜黄,Jiāng Huáng,Turmeric Rhizome,姜黄,,,0.91,5.5:1,5.5,5,blood_move|pain|liver|inflammation|menstrual,"Invigorate Blood, move Qi, free the channels and relieve pain — distinct from ginger",Pregnancy; Blood deficiency without stasis; gallstone obstruction; anticoagulant therapy,derived
247,蒺藜,Jí Lí,Tribulus Fruit,蒺藜,,,0.83,6:1,6,5,liver|eye|itch|skin|headache,"Calm the Liver, dispel Wind, brighten the eyes, stop itching and free Qi constraint",Pregnancy; Qi and Blood deficiency,derived
248,炒蒺藜,Chǎo Jí Lí,Dry-fried Tribulus Fruit,蒺藜,炒,,0.77,6.5:1,6.5,5,liver|eye|itch|skin|headache|spleen,"Calm the Liver, dispel Wind, brighten the eyes, stop itching and free Qi constraint. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Pregnancy; Qi and Blood deficiency,derived
249,桔梗,Jié Gěng,Platycodon Root,桔梗,,,3.33,1.5:1,1.5,5,lung|cough|phlegm|throat|abscess,"Open the Lung, dissolve phlegm, benefit the throat and expel pus — guides other herbs upward",Cough from Yin deficiency with blood in sputum; peptic ulcer; high dose causes nausea,derived
250,金银花,Jīn Yín Huā,Honeysuckle Flower,金银花,,,2,3:1,3,6,immune|heat|infection|skin,"Clear Heat, resolve Fire toxins, expel Wind-Heat",Cold deficiency patterns,curated
251,金樱子肉,Jīn Yīng Zǐ Ròu,Cherokee Rose Fruit Flesh,金樱子肉,,,3,2:1,2,6,kidney|essence|urinary|astringent,"Secure the Kidney, astringe Essence and reduce urination — the deseeded flesh",Excess Heat or Damp-Heat,derived
252,金樱子,Jīn Yīng Zǐ,Cherokee Rose Fruit,金樱子,,,2,3:1,3,6,kidney|essence|urinary|astringent|diarrhoea,"Secure the Kidney, astringe Essence, reduce urination and restrain the intestines",Excess Heat or Damp-Heat; early-stage exterior pattern,derived
253,荆芥,Jīng Jiè,Schizonepeta,荆芥,,,0.88,5.7:1,5.7,5,exterior|wind_cold|rash|itch|skin,"Release the exterior, disperse Wind, vent rashes and stop bleeding when charred",Exterior deficiency with sweating; measles fully erupted; add late in decoction,derived
254,荆芥炭,Jīng Jiè Tàn,Charred Schizonepeta,荆芥炭,,,0.67,7.5:1,7.5,5,bleeding|astringent|women,"Charring converts the action to stopping bleeding, particularly uterine",No longer releases the exterior — not for Wind patterns,derived
255,荆芥穗,Jīng Jiè Suì,Schizonepeta Spike,荆芥穗,,,1.16,4.3:1,4.3,5,exterior|wind_cold|rash|itch|headache,The flowering spike disperses Wind more strongly than the whole herb,Exterior deficiency with sweating; add late in decoction,derived
256,九节菖蒲,Jiǔ Jié Chāng Pú,Anemone Altaica Rhizome,九节菖蒲,,,0.75,4:1,4,3,shen|phlegm|memory|spleen,"Open the orifices, transform phlegm, quiet the Shen and awaken the Spleen",Yin deficiency with heat; excessive sweating,derived
257,救必应,Jiù Bì Yìng,Ilex Rotunda Bark,救必应,,,1.25,4:1,4,5,heat|toxin|damp|pain|gut,"Clear Heat, resolve toxin, drain Damp and relieve pain",Spleen and Stomach Cold deficiency,derived
258,韭菜子,Jiǔ Cài Zǐ,Chinese Chive Seed,韭菜子,,,0.67,7.5:1,7.5,5,kidney|yang_tonic|essence|liver|urinary,"Warm and supplement the Liver and Kidney, assist Yang and secure Essence",Yin deficiency with Fire,derived
259,橘核,Jú Hé,Tangerine Seed,橘核,,,1,5:1,5,5,thyroid|nodule|liver|qi_stagnation|pain,"Move Qi, disperse clumping, stop pain",None significant,curated
260,盐橘核,Yán Jú Hé,Salt-processed Tangerine Seed,橘核,盐,,1.11,4.5:1,4.5,5,thyroid|nodule|liver|qi_stagnation|pain|kidney,"Move Qi, disperse clumping, stop pain. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",None significant,curated+processed
261,菊花,Jú Huā,Chrysanthemum Flower,菊花,,,1.43,3.5:1,3.5,5,wind_heat|eye|liver|heat|headache,"Disperse Wind-Heat, calm the Liver, brighten the eyes and resolve toxin",Qi deficiency with poor appetite; Spleen Cold with loose stool,derived
262,决明子(钝叶决明),Jué Míng Zǐ,Cassia Seed,决明子,,钝叶决明,2,5:1,5,10,liver|eye|constipation|heat|cholesterol,"Clear the Liver, brighten the eyes, moisten the intestines and free the stool",Low blood pressure; loose stool; pregnancy,derived
263,炒决明子(钝叶决明),Chǎo Jué Míng Zǐ,Dry-fried Cassia Seed,决明子,炒,钝叶决明,2.22,4.5:1,4.5,10,liver|eye|constipation|heat|cholesterol|spleen,"Clear the Liver, brighten the eyes, moisten the intestines and free the stool. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Low blood pressure; loose stool; pregnancy,derived
264,芥子(芥),Jiè Zǐ,Mustard Seed,芥子,,芥,1.67,3:1,3,5,phlegm|cough|lung|nodule|pain,"Warm the Lung, dissolve phlegm, benefit Qi, dissipate nodules and free the collaterals",Lung Heat cough; Yin deficiency; skin irritant topically; peptic ulcer,derived
265,金荞麦,Jīn Qiáo Mài,Fagopyrum Dibotrys,金荞麦,,,1.76,8.5:1,8.5,15,lung|toxin|abscess|phlegm|throat,"Clear Heat, resolve toxin, expel pus, dissipate stasis and dissolve phlegm",Spleen Cold deficiency; pregnancy,derived
266,锦灯笼,Jǐn Dēng Lóng,Physalis Calyx,锦灯笼,,,1.25,4:1,4,5,throat|heat|toxin|cough|urinary,"Clear Heat, resolve toxin, benefit the throat and dissolve phlegm",Pregnancy; Spleen Cold deficiency,derived
267,九香虫,Jiǔ Xiāng Chóng,Aspongopus,九香虫,,,0.67,7.5:1,7.5,5,qi_move|pain|kidney|yang_tonic|stomach,"Move Qi and relieve pain, warm the Yang and strengthen the Kidney",Yin deficiency with Heat,derived
268,枯矾,Kū Fán,Calcined Alum,枯矾,,,1,1:1,1,1,astringent|damp|bleeding|skin|parasite,"Astringe, dry Damp, stop bleeding, kill parasites and resolve toxin",Internal use strictly limited; not for weak Spleen and Stomach; mainly topical,derived
269,苦楝皮(楝),Kǔ Liàn Pí,Melia Bark,苦楝皮,,楝,0.5,10:1,10,5,parasite|skin|tinea,Kill parasites and treat tinea,TOXIC — dose-limited; pregnancy; hepatic or renal impairment; weak constitution,derived
270,苦参,Kǔ Shēn,Sophora Flavescens Root,苦参,,,1,5:1,5,5,damp|skin|itch|heat|urinary,"Clear Heat, dry Damp, kill parasites, stop itching and promote urination",Spleen and Stomach deficiency Cold; incompatible with 藜芦; very bitter and cold,derived
271,燀苦杏仁(西伯利亚杏),Chǎn Kǔ Xìng Rén,Blanched Bitter Apricot Kernel,苦杏仁,燀,西伯利亚杏,0.77,6.5:1,6.5,5,cough|lung|asthma|constipation|phlegm,"Stop cough, calm wheezing, descend Lung Qi and moisten the intestines. Blanching removes the seed coat and destroys enzymes that would otherwise degrade the active constituents on storage.","TOXIC in quantity — strict dose limit, especially in infants; loose stool",derived
272,苦杏仁(西伯利亚杏),Kǔ Xìng Rén,Bitter Apricot Kernel,苦杏仁,,西伯利亚杏,0.83,6:1,6,5,cough|lung|asthma|constipation|phlegm,"Stop cough, calm wheezing, descend Lung Qi and moisten the intestines","TOXIC in quantity — strict dose limit, especially in infants; loose stool",derived
273,炒苦杏仁(西伯利亚杏),Chǎo Kǔ Xìng Rén,Dry-fried Bitter Apricot Kernel,苦杏仁,炒,西伯利亚杏,0.83,6:1,6,5,cough|lung|asthma|constipation|phlegm|spleen,"Stop cough, calm wheezing, descend Lung Qi and moisten the intestines. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.","TOXIC in quantity — strict dose limit, especially in infants; loose stool",derived
274,款冬花,Kuǎn Dōng Huā,Coltsfoot Flower,款冬花,,,3.34,1.5:1,1.5,5,cough|lung|phlegm|dryness,"Moisten the Lung, descend rebellious Qi, stop cough and dissolve phlegm","Contains pyrrolizidine alkaloids — avoid prolonged use, hepatotoxic risk; Lung Heat with blood in sputum",derived
275,蜜款冬花,Mì Kuǎn Dōng Huā,Honey-fried Coltsfoot Flower,款冬花,蜜,,4.17,1.2:1,1.2,5,cough|lung|phlegm|dryness,"Moisten the Lung, descend rebellious Qi, stop cough and dissolve phlegm. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.","Contains pyrrolizidine alkaloids — avoid prolonged use, hepatotoxic risk; Lung Heat with blood in sputum",derived
276,莱菔子,Lái Fú Zǐ,Radish Seed,莱菔子,,,1,5:1,5,5,digestion|bloating|phlegm|cough|gut,"Aid digestion, disperse distension, descend Qi and dissolve phlegm",Qi deficiency without stagnation; traditionally avoided with 人参,derived
277,炒莱菔子,Chǎo Lái Fú Zǐ,Dry-fried Radish Seed,莱菔子,炒,,1,5:1,5,5,digestion|bloating|phlegm|cough|gut|spleen,"Aid digestion, disperse distension, descend Qi and dissolve phlegm. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Qi deficiency without stagnation; traditionally avoided with 人参,derived
278,蓝花参,Lán Huā Shēn,Wahlenbergia Root,蓝花参,,,1.5,4:1,4,6,qi_tonic|spleen|lung|cough|fatigue,"Supplement Qi, strengthen the Spleen, moisten the Lung and stop cough",Generally well tolerated,derived
279,荔枝核,Lì Zhī Hé,Litchi Seed,荔枝核,,,0.77,6.5:1,6.5,5,qi_move|pain|hernia|cold|menstrual,"Move Qi, dissipate clumps, disperse Cold and relieve pain",No Cold stagnation present,derived
280,盐荔枝核,Yán Lì Zhī Hé,Salt-processed Litchi Seed,荔枝核,盐,,0.83,6:1,6,5,qi_move|pain|hernia|cold|menstrual|kidney,"Move Qi, dissipate clumps, disperse Cold and relieve pain. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",No Cold stagnation present,derived
281,连翘(青翘),Lián Qiào,Forsythia Fruit,连翘,,青翘,1.52,3.3:1,3.3,5,immune|heat|infection|lymph|thyroid,"Clear Heat, resolve toxins, dissipate nodules, dispel Wind-Heat",Spleen-Stomach deficiency cold,curated
282,莲须,Lián Xū,Lotus Stamen,莲须,,,1.36,2.2:1,2.2,3,kidney|essence|astringent|discharge|urinary,"Secure the Kidney, astringe Essence and stop discharge",Damp-Heat; painful urinary dribbling,derived
283,莲子,Lián Zǐ,Lotus Seed,莲子,,,1.5,4:1,4,6,gut|spleen|kidney|shen|sleep,"Tonify Spleen and Kidney, calm Shen, astringe Jing","Dry stool constipation, abdominal distension",curated
284,莲子心,Lián Zǐ Xīn,Lotus Plumule,莲子心,,,0.97,3.1:1,3.1,3,heart|heat|shen|insomnia|hypertension,"Clear the Heart, drain Fire, quiet the Shen and stop bleeding",Spleen and Stomach Cold deficiency; very bitter,derived
285,两面针,Liǎng Miàn Zhēn,Shinyleaf Prickly Ash Root,两面针,,,0.83,12:1,12,10,pain|blood_move|trauma|toothache,"Move Blood, dispel stasis, free the collaterals and relieve pain",Pregnancy; do not exceed dose — overdose causes dizziness and nausea,derived
286,灵芝(赤芝),Líng Zhī,Reishi Mushroom,灵芝,,赤芝,0.48,12.5:1,12.5,6,qi_tonic|immune|sleep|shen|aging|stress,"Calm Shen, tonify Qi and Blood, strengthen Heart and Lung",Anticoagulants (caution),curated
287,龙胆(龙胆),Lóng Dǎn,Gentian Root,龙胆,,龙胆,1.36,2.2:1,2.2,3,liver|heat|damp|jaundice|eye,"Drain Liver and Gallbladder Fire, clear Heat and dry Damp",Spleen and Stomach deficiency Cold; no Damp-Heat; extremely bitter — may cause nausea,derived
288,龙胆(坚龙胆),Lóng Dǎn,Gentian Root,龙胆,,坚龙胆,1.36,2.2:1,2.2,3,liver|heat|damp|jaundice|eye,"Drain Liver and Gallbladder Fire, clear Heat and dry Damp",Spleen and Stomach deficiency Cold; no Damp-Heat; extremely bitter — may cause nausea,derived
289,龙脷叶,Lóng Lì Yè,Sauropus Leaf,龙脷叶,,,2,2.5:1,2.5,5,cough|lung|phlegm|throat|dryness,"Clear the Lung, moisten dryness, stop cough and dissolve phlegm",Spleen Cold deficiency,derived
290,龙眼肉,Lóng Yǎn Ròu,Longan Flesh,龙眼肉,,,2.73,1.1:1,1.1,3,blood_tonic|heart|shen|sleep|spleen,"Nourish Heart and Spleen, tonify Blood, calm Shen","Phlegm-Damp, damp-heat",curated
291,漏芦,Lòu Lú,Rhaponticum Root,漏芦,,,0.6,8.3:1,8.3,5,toxin|breast|lactation|abscess|heat,"Clear Heat, resolve toxin, dissipate abscess, free lactation and the collaterals",Pregnancy; Qi and Blood deficiency; sores of deficiency type,derived
292,北刘寄奴,Běi Liú Jì Nú,Siphonostegia,北刘寄奴,,,0.75,4:1,4,3,blood_move|menstrual|damp|jaundice|trauma,"Invigorate Blood, disperse stasis, free menstruation and drain Damp",Pregnancy; Qi and Blood deficiency,derived
293,鹿衔草(鹿蹄草),Lù Xián Cǎo,Pyrola,鹿衔草,,鹿蹄草,1,5:1,5,5,wind_damp|bone|bleeding|cough|kidney,"Dispel Wind-Damp, strengthen sinew and bone, stop bleeding and stop cough",Generally well tolerated; caution in pregnancy,derived
294,鹿角胶(马鹿),Lù Jiǎo Jiāo,Deer Antler Glue,鹿角胶,,马鹿,2,1:1,1,2,kidney|yang_tonic|essence|blood_tonic|bleeding,"Warm and supplement Liver and Kidney, benefit Essence and Blood, stop bleeding",Yin deficiency with Fire; Damp-Heat; dissolve separately,derived
295,罗布麻叶,Luó Bù Má Yè,Apocynum Leaf,罗布麻叶,,,1.5,4:1,4,6,hypertension|liver|shen|oedema|heart,"Calm the Liver, quiet the Shen, clear Heat and promote urination",Cold deficiency; monitor with antihypertensive therapy,derived
296,路路通,Lù Lù Tōng,Liquidambar Fruit,路路通,,,0.6,16.7:1,16.7,10,collateral|wind_damp|lactation|oedema|breast,"Dispel Wind, free the collaterals, promote urination and free lactation",Pregnancy; heavy menstruation,derived
297,芦根,Lú Gēn,Reed Rhizome,芦根,,,0.85,5.9:1,5.9,5,heat|thirst|lung|nausea|urinary,"Clear Heat, generate fluids, relieve irritability, stop vomiting and promote urination",Spleen and Stomach Cold deficiency,derived
298,芦荟(库拉索芦荟),Lú Huì,Aloe,芦荟,,库拉索芦荟,2,1:1,1,2,constipation|liver|heat|parasite,"Drain downward, clear Liver Fire and kill parasites",Pregnancy; Spleen and Stomach deficiency; loose stool; strong purgative,derived
299,罗汉果,Luó Hàn Guǒ,Momordica Fruit,罗汉果,,,1.2,2.5:1,2.5,3,cough|lung|throat|constipation|thirst,"Clear the Lung, moisten dryness, free the stool and stop cough",Spleen Cold deficiency with loose stool,derived
300,龙骨,Lóng Gǔ,Dragon Bone (Fossil),龙骨,,,0.6,25:1,25,15,sleep|anxiety|shen|sweating,"Anchor Yang, calm Shen, astringe","Damp-Heat, exterior patterns",curated
301,煅龙骨,Duàn Lóng Gǔ,Calcined Dragon Bone (Fossil),龙骨,煅,,0.6,25:1,25,15,sleep|anxiety|shen|sweating|astringent,"Anchor Yang, calm Shen, astringe. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.","Damp-Heat, exterior patterns",curated+processed
